team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Saint Peter's,22.0,12.0,0.647,2.96,-0.47,2277.0,2125.0,2022
Sam Houston,19.0,14.0,0.576,0.07,-1.16,2272.0,2082.0,2022
Samford,21.0,11.0,0.656,-3.01,-1.76,2390.0,2363.0,2022
San Diego,15.0,16.0,0.484,-3.32,1.48,2041.0,2086.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
San Diego State,23.0,9.0,0.719,13.13,5.85,2093.0,1860.0,2022
San Francisco,24.0,10.0,0.706,14.12,5.24,2630.0,2304.0,2022
San Jose State,8.0,23.0,0.258,-7.01,3.79,1993.0,2242.0,2022
Santa Clara,21.0,12.0,0.636,8.98,3.61,2550.0,2373.0,2022
Seattle,23.0,9.0,0.719,1.96,-4.1,2395.0,2132.0,2022
Seton Hall,21.0,11.0,0.656,12.75,8.52,2302.0,2125.0,2022
Siena,15.0,14.0,0.517,-6.4,-3.5,1922.0,2006.0,2022
South Alabama,21.0,12.0,0.636,0.23,-3.59,2362.0,2111.0,2022
South Carolina,18.0,13.0,0.581,7.14,8.37,2200.0,2178.0,2022
South Carolina State,15.0,16.0,0.484,-13.04,-8.39,2227.0,2249.0,2022
South Carolina Upstate,15.0,17.0,0.469,-9.01,-4.11,2287.0,2341.0,2022
South Dakota,19.0,12.0,0.613,-4.43,-5.61,2329.0,2198.0,2022
South Dakota State,30.0,5.0,0.857,6.6,-3.77,3005.0,2561.0,2022
South Florida,8.0,23.0,0.258,-3.05,4.4,1781.0,2012.0,2022
Southeast Missouri State,14.0,18.0,0.438,-7.19,-4.69,2418.0,2473.0,2022
Southeastern Louisiana,19.0,15.0,0.559,-9.03,-5.77,2679.0,2643.0,2022
Southern,17.0,14.0,0.548,-5.17,-6.9,2229.0,2105.0,2022
Southern California,26.0,8.0,0.765,12.5,6.09,2461.0,2243.0,2022
Southern Illinois,16.0,15.0,0.516,2.83,0.73,1985.0,1902.0,2022
SIU Edwardsville,11.0,21.0,0.344,-10.37,-4.71,2161.0,2238.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Southern Methodist,24.0,9.0,0.727,11.14,4.44,2436.0,2215.0,2022
Southern Mississippi,7.0,26.0,0.212,-13.58,-0.38,2126.0,2471.0,2022
Southern Utah,23.0,12.0,0.657,-1.51,-4.57,2720.0,2538.0,2022
St. Bonaventure,23.0,10.0,0.697,8.27,4.79,2309.0,2194.0,2022
St. Francis (NY),10.0,20.0,0.333,-13.49,-7.93,2017.0,2116.0,2022
St. John's (NY),17.0,15.0,0.531,11.95,6.51,2547.0,2373.0,2022
St. Thomas,10.0,20.0,0.333,-11.15,-5.59,2241.0,2260.0,2022
